"scenario","min","q.025","q.50","q.975","max"
1,"8.0","261.6","304.1","334.3","337.3"
2,"8.0","342.5","409.3","445.6","448.8"
3,"8.0","452.0","495.0","556.1","558.7"
4,"7.7","459.5","556.0","611.6","630.3"
5,"7.7","525.6","594.1","685.2","705.5"
6,"8.3","524.1","609.0","691.7","753.5"
7,"8.3","537.0","637.1","702.1","713.1"
8,"7.7","560.9","653.3","731.2","759.7"
9,"9.0","579.2","656.4","728.6","738.1"
10,"9.0","564.4","660.2","727.1","732.4"
11,"8.3","566.4","665.9","728.8","760.5"
12,"4.0","41.5","48.8","55.3","56.7"
