"scenario","min","q.025","q.50","q.975","max"
1,"10","12","237709","238916","239199"
2,"10","12","237688","238761","239327"
3,"10","12","237362","238698","238939"
4,"10","12","237383","238473","238681"
5,"10","12","237107","238102","238391"
6,"10","12","237057","238072","238178"
7,"10","12","236942","238054","238138"
8,"10","12","236956","238096","238359"
9,"10","12","236953","237843","238396"
10,"10","12","236845","237852","238579"
11,"10","12","236831","238061","238247"
12,"10","12","237888","238996","239201"
